College,Major,Program,Course Prefix,Course Name,Color
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BOT 121,General Botany (B2 & B3) 1,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 341,Cut Flower Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 313,Agricultural Entomology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS/BOT 323,Plant Pathology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 240,Commercial Seed Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 333,Greenhouse Vegetable Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 445,Cropping Systems,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 462,Senior Project II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SS 321,Soil Morphology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,MCRO 221,Microbiology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 420,Organic Crop Production Systems,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 424,Nursery Crop Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BRAE 440,Agricultural Irrigation Systems,#ff99f1
