Programs,0,1,2,3,4,5,6,7,8,9
General Engineering,0.019230769230769232,0.057692307692307696,0.36538461538461536,1.0576923076923077,0.038461538461538464,0.5576923076923077,0.4423076923076923,0.038461538461538464,0.7307692307692307,0.09615384615384616
Graphic Communication,0.13432835820895522,0.08955223880597014,0.6865671641791045,0.13432835820895522,0.04477611940298507,0.7313432835820896,0.47761194029850745,0.029850746268656716,0.16417910447761194,0.04477611940298507
History,2.311111111111111,0.0,0.13333333333333333,0.15555555555555556,0.4444444444444444,0.13333333333333333,0.15555555555555556,0.0,0.0,0.0
Industrial Engineering,0.3137254901960784,0.19607843137254902,0.8235294117647058,1.0294117647058822,0.029411764705882353,0.9215686274509803,0.7058823529411765,0.0392156862745098,0.18627450980392157,0.0392156862745098
Industrial Technology and Packaging,0.125,0.08333333333333333,0.4166666666666667,0.25,0.0,0.4583333333333333,0.2916666666666667,0.041666666666666664,0.125,0.041666666666666664
Interdisciplinary Studies,2.388888888888889,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.0
Journalism,0.3695652173913043,0.043478260869565216,0.2608695652173913,0.1956521739130435,0.30434782608695654,0.4782608695652174,0.2608695652173913,0.021739130434782608,0.0,0.021739130434782608
Kinesiology,0.5056179775280899,0.2696629213483146,0.1348314606741573,0.14606741573033707,0.0449438202247191,0.16853932584269662,0.2247191011235955,0.0449438202247191,0.34831460674157305,1.595505617977528
Landscape Architecture,0.3333333333333333,0.06666666666666667,0.2,0.08888888888888889,0.022222222222222223,0.28888888888888886,0.1111111111111111,0.0,0.1111111111111111,0.08888888888888889
Liberal Arts and Engineering Studies,0.2926829268292683,0.04878048780487805,0.9024390243902439,0.6707317073170732,0.12195121951219512,0.5609756097560976,0.3902439024390244,0.0975609756097561,0.07317073170731707,0.0
Liberal Studies,1.15625,0.14375,0.11875,0.28125,0.13125,0.28125,0.1625,0.03125,0.4625,0.30625
